P,N,reps,median_rep,median_wall_s,median_comm_max_s,q1_wall_s,q3_wall_s,iqr_wall_s,min_wall_s,max_wall_s
16,108,11,3,0.068603,0.034871,0.067999,0.069374,0.001375,0.067644,0.069928
16,256,11,2,0.361851,0.098397,0.358669,0.363746,0.005077,0.358334,0.367599
16,500,11,7,1.419085,0.323552,1.409080,1.421213,0.012133,1.403141,1.486871
16,864,11,7,3.848148,0.711096,3.835492,3.852665,0.017173,3.827708,3.854997
16,1372,11,3,9.102605,1.511462,9.088830,9.179895,0.091065,9.047623,9.195848
16,2048,11,2,19.195878,2.507444,19.040896,19.237802,0.196906,19.025029,19.529586
