P,N,wall_s,comm_max_s
16,108,0.068603,0.034871
16,256,0.361851,0.098397
16,500,1.419085,0.323552
16,864,3.848148,0.711096
16,1372,9.102605,1.511462
16,2048,19.195878,2.507444
